time x -x y z
0.084 -3.50735e-06 3.50735e-06 2.23277e-06 -1.47221e-06
0.085 -3.59565e-06 3.59565e-06 2.29349e-06 -1.51126e-06
0.086 -3.68516e-06 3.68516e-06 2.3552e-06 -1.55091e-06
0.087 -3.77591e-06 3.77591e-06 2.4179e-06 -1.59116e-06
0.088 -3.86788e-06 3.86788e-06 2.48159e-06 -1.63202e-06
0.089 -3.96108e-06 3.96108e-06 2.54628e-06 -1.6735e-06
0.09 -4.05552e-06 4.05552e-06 2.61198e-06 -1.71559e-06
0.091 -4.1512e-06 4.1512e-06 2.67869e-06 -1.7583e-06
0.092 -4.24813e-06 4.24813e-06 2.74642e-06 -1.80163e-06
0.093 -4.34631e-06 4.34631e-06 2.81517e-06 -1.84558e-06
0.094 -4.44574e-06 4.44574e-06 2.88495e-06 -1.89016e-06
0.095 -4.54643e-06 4.54643e-06 2.95577e-06 -1.93538e-06
0.096 -4.64838e-06 4.64838e-06 3.02762e-06 -1.98122e-06
0.097 -4.7516e-06 4.7516e-06 3.10053e-06 -2.02771e-06
0.098 -4.85608e-06 4.85608e-06 3.17448e-06 -2.07483e-06
0.099 -4.96184e-06 4.96184e-06 3.2495e-06 -2.1226e-06
0.1 -5.06888e-06 5.06888e-06 3.32558e-06 -2.17102e-06
0.101 -5.1772e-06 5.1772e-06 3.40272e-06 -2.22008e-06
0.102 -5.28681e-06 5.28681e-06 3.48095e-06 -2.2698e-06
0.103 -5.3977e-06 5.3977e-06 3.56025e-06 -2.32017e-06
0.104 -5.50989e-06 5.50989e-06 3.64065e-06 -2.3712e-06
0.105 -5.62338e-06 5.62338e-06 3.72213e-06 -2.42289e-06
0.106 -5.73817e-06 5.73817e-06 3.80471e-06 -2.47525e-06
0.107 -5.85426e-06 5.85426e-06 3.8884e-06 -2.52828e-06
0.108 -5.97167e-06 5.97167e-06 3.9732e-06 -2.58197e-06
0.109 -6.09039e-06 6.09039e-06 4.05911e-06 -2.63634e-06
0.11 -6.21042e-06 6.21042e-06 4.14614e-06 -2.69139e-06
0.111 -6.33178e-06 6.33178e-06 4.2343e-06 -2.74712e-06
0.112 -6.45446e-06 6.45446e-06 4.32359e-06 -2.80353e-06
0.113 -6.57847e-06 6.57847e-06 4.41402e-06 -2.86062e-06
0.114 -6.70381e-06 6.70381e-06 4.50559e-06 -2.91841e-06
0.115 -6.8305e-06 6.8305e-06 4.59831e-06 -2.97688e-06
0.116 -6.95852e-06 6.95852e-06 4.69219e-06 -3.03605e-06
0.117 -7.08788e-06 7.08788e-06 4.78722e-06 -3.09592e-06
0.118 -7.2186e-06 7.2186e-06 4.88342e-06 -3.15649e-06
0.119 -7.35066e-06 7.35066e-06 4.98079e-06 -3.21776e-06
0.12 -7.48408e-06 7.48408e-06 5.07934e-06 -3.27974e-06
0.121 -7.61887e-06 7.61887e-06 5.17906e-06 -3.34243e-06
0.122 -7.75501e-06 7.75501e-06 5.27998e-06 -3.40583e-06
0.123 -7.89252e-06 7.89252e-06 5.38209e-06 -3.46995e-06
0.124 -8.03141e-06 8.03141e-06 5.48539e-06 -3.53478e-06
0.125 -8.17167e-06 8.17167e-06 5.5899e-06 -3.60034e-06
0.126 -8.3133e-06 8.3133e-06 5.69562e-06 -3.66662e-06
0.127 -8.45632e-06 8.45632e-06 5.80255e-06 -3.73363e-06
0.128 -8.60073e-06 8.60073e-06 5.9107e-06 -3.80136e-06
0.129 -8.74652e-06 8.74652e-06 6.02007e-06 -3.86983e-06
0.13 -8.89371e-06 8.89371e-06 6.13068e-06 -3.93904e-06
0.131 -9.04229e-06 9.04229e-06 6.24252e-06 -4.00898e-06
0.132 -9.19228e-06 9.19228e-06 6.3556e-06 -4.07966e-06
0.133 -9.34367e-06 9.34367e-06 6.46993e-06 -4.15109e-06
0.134 -9.49647e-06 9.49647e-06 6.58551e-06 -4.22327e-06
0.135 -9.65068e-06 9.65068e-06 6.70234e-06 -4.29619e-06
0.136 -9.80631e-06 9.80631e-06 6.82044e-06 -4.36987e-06
0.137 -9.96335e-06 9.96335e-06 6.93981e-06 -4.4443e-06
0.138 -1.01218e-05 1.01218e-05 7.06044e-06 -4.51949e-06
0.139 -1.02817e-05 1.02817e-05 7.18236e-06 -4.59545e-06
0.14 -1.0443e-05 1.0443e-05 7.30556e-06 -4.67216e-06
0.141 -1.06058e-05 1.06058e-05 7.43004e-06 -4.74965e-06
0.142 -1.077e-05 1.077e-05 7.55582e-06 -4.8279e-06
0.143 -1.09356e-05 1.09356e-05 7.6829e-06 -4.90692e-06
0.144 -1.11027e-05 1.11027e-05 7.81128e-06 -4.98672e-06
0.145 -1.12712e-05 1.12712e-05 7.94097e-06 -5.0673e-06
0.146 -1.14412e-05 1.14412e-05 8.07197e-06 -5.14865e-06
0.147 -1.16126e-05 1.16126e-05 8.2043e-06 -5.23079e-06
0.148 -1.17855e-05 1.17855e-05 8.33794e-06 -5.31372e-06
0.149 -1.19599e-05 1.19599e-05 8.47292e-06 -5.39743e-06
0.15 -1.21357e-05 1.21357e-05 8.60923e-06 -5.48194e-06
0.151 -1.2313e-05 1.2313e-05 8.74688e-06 -5.56724e-06
0.152 -1.24918e-05 1.24918e-05 8.88587e-06 -5.65334e-06
0.153 -1.2672e-05 1.2672e-05 9.02622e-06 -5.74023e-06
0.154 -1.28537e-05 1.28537e-05 9.16791e-06 -5.82793e-06
0.155 -1.30369e-05 1.30369e-05 9.31097e-06 -5.91643e-06
0.156 -1.32216e-05 1.32216e-05 9.45539e-06 -6.00575e-06
0.157 -1.34078e-05 1.34078e-05 9.60118e-06 -6.09587e-06
0.158 -1.35954e-05 1.35954e-05 9.74835e-06 -6.1868e-06
0.159 -1.37846e-05 1.37846e-05 9.89689e-06 -6.27855e-06
0.16 -1.39753e-05 1.39753e-05 1.00468e-05 -6.37112e-06
0.161 -1.41674e-05 1.41674e-05 1.01981e-05 -6.46451e-06
0.162 -1.43611e-05 1.43611e-05 1.03509e-05 -6.55872e-06
0.163 -1.45563e-05 1.45563e-05 1.0505e-05 -6.65376e-06
0.164 -1.4753e-05 1.4753e-05 1.06605e-05 -6.74962e-06
0.165 -1.49512e-05 1.49512e-05 1.08174e-05 -6.84632e-06
0.166 -1.5151e-05 1.5151e-05 1.09757e-05 -6.94385e-06
0.167 -1.53522e-05 1.53522e-05 1.11355e-05 -7.04222e-06
0.168 -1.5555e-05 1.5555e-05 1.12967e-05 -7.14143e-06
0.169 -1.57593e-05 1.57593e-05 1.14593e-05 -7.24148e-06
0.17 -1.59652e-05 1.59652e-05 1.16233e-05 -7.34237e-06
0.171 -1.61726e-05 1.61726e-05 1.17888e-05 -7.44412e-06
0.172 -1.63815e-05 1.63815e-05 1.19557e-05 -7.54671e-06
0.173 -1.6592e-05 1.6592e-05 1.21241e-05 -7.65015e-06
0.174 -1.6804e-05 1.6804e-05 1.22939e-05 -7.75445e-06
0.175 -1.70176e-05 1.70176e-05 1.24652e-05 -7.8596e-06
0.176 -1.72327e-05 1.72327e-05 1.2638e-05 -7.96562e-06
0.177 -1.74494e-05 1.74494e-05 1.28122e-05 -8.07249e-06
0.178 -1.76676e-05 1.76676e-05 1.29879e-05 -8.18024e-06
0.179 -1.78874e-05 1.78874e-05 1.3165e-05 -8.28884e-06
0.18 -1.81088e-05 1.81088e-05 1.33437e-05 -8.39832e-06
0.181 -1.83317e-05 1.83317e-05 1.35238e-05 -8.50868e-06
